player_name,conv_open,conv_pressure,psxg_mean_0,psxg_mean_1,n_open,n_pressure,xg_open,xg_pressure,pressure_conv_drop
A. Addison,0.16666666666666666,0.0,0.13879340887069702,0.0,24.0,7.0,0.14397198054939506,0.011958146733897071,0.16666666666666666
A. Ale,0.09090909090909091,0.0,0.19375691630623557,0.0,11.0,4.0,0.24910531734878366,0.0,0.09090909090909091
A. Anvegård,0.2222222222222222,0.0,0.24747573915455076,0.0,18.0,10.0,0.14753762301471496,0.060571798682212796,0.2222222222222222
A. Asante,0.2857142857142857,0.0,0.2285786590405873,0.0,7.0,2.0,0.09113102725573947,0.04185351356863975,0.2857142857142857
A. Baker,0.2,,0.1266187071800232,,5.0,,0.19213116765022278,,0.2
A. Beever-Jones,0.21495327102803738,0.12,0.20545265078544617,0.07943173944950103,107.0,25.0,0.20032492064148463,0.04043486773967741,0.09495327102803738
A. Bergström,0.1,0.0,0.17721518874168396,0.0797101482748985,10.0,2.0,0.20467337667942048,0.11721315979957575,0.1
A. Blanchard,0.13333333333333333,0.0,0.1929638107617696,0.0,15.0,5.0,0.21463238547245658,0.06582875996828076,0.13333333333333333
A. Csiki,0.3333333333333333,,0.2926829258600871,,3.0,,0.2294799486796061,,0.3333333333333333
A. Csillag,0.125,,0.30212316662073135,,8.0,,0.14723561424762008,,0.125
A. Dahlkemper,0.0,,0.0,,2.0,,0.04185351356863975,,0.0
A. Dennis,0.0,,0.0,,1.0,,0.4670658707618713,,0.0
A. Denton,0.42857142857142855,0.0,0.357217367206301,0.03947368493446937,7.0,13.0,0.2962793324674879,0.04560943005176689,0.42857142857142855
A. Eikeland,0.1016949152542373,0.05263157894736842,0.1263488867020203,0.051203967709290345,59.0,19.0,0.15363293166382835,0.036247295768637396,0.04906333630686888
A. Engman,0.2727272727272727,0.0,0.26939795775847003,0.0,11.0,2.0,0.19796483557332645,0.04185351356863975,0.2727272727272727
A. Everett,0.0,,0.0,,2.0,,0.050000000745058,,0.0
A. Filbey,1.0,0.0,0.9292929172515869,0.0,2.0,1.0,0.654201090335846,0.0837070271372795,1.0
A. Fujino,0.17142857142857143,0.0,0.16934087744780948,0.021276595917615018,35.0,11.0,0.1634903773665428,0.03653094307942823,0.17142857142857143
A. Galli,0.09090909090909091,0.13043478260869565,0.05755395780910145,0.11589581681334454,11.0,23.0,0.12840181047266178,0.07933943362339681,-0.03952569169960474
A. Gaylor,0.25,0.0,0.17307692766189575,0.09663742904861766,4.0,6.0,0.05514309369027612,0.05319864923755326,0.25
A. Goddard,0.0,0.0,0.0,0.0,4.0,2.0,0.1445766985416412,0.0758889205753803,0.0
A. Grant,0.07692307692307693,0.1111111111111111,0.04004087700293614,0.21257106794251335,13.0,9.0,0.10312305333522648,0.11615251832538179,-0.03418803418803418
A. Green,0.0,0.0,0.0,0.0333333350718021,2.0,2.0,0.0,0.0837070271372795,0.0
A. Greenwood,0.08064516129032258,0.0,0.11942081225495185,0.023101187348365783,62.0,50.0,0.12543260510410031,0.022419000267982478,0.08064516129032258
A. Harrison,0.1111111111111111,0.07692307692307693,0.09795679427959302,0.03947368493446937,27.0,13.0,0.11701109839810264,0.034015638323930585,0.03418803418803418
A. Hazard,0.0,,0.0,,1.0,,0.0,,0.0
A. Heatherson,0.24,0.0,0.2649007451534271,0.01875532900585847,25.0,17.0,0.17554381430149074,0.046817451058065174,0.24
A. Hegerberg,0.0,0.0,0.0,0.010822510553730855,9.0,18.0,0.08932285755872725,0.03802328991393247,0.0
A. Hodson,0.041666666666666664,0.125,0.041666666666666664,0.024350648745894425,24.0,8.0,0.14088215647886196,0.10173867270350455,-0.08333333333333334
A. Holmes,0.0,0.0,0.0,0.0,3.0,3.0,0.1888218795259793,0.07352412492036817,0.0
