player_name,shots_n,goals,xg,psxg,seasons,conv_rate,goals_minus_xg,goals_minus_psxg
,484,58,60.671925,46.730274,4,0.11983471074380166,-2.671924591064453,11.269725799560547
A. Addison,32,4,4.4890265,4.016306,3,0.125,-0.4890265464782715,-0.016305923461914062
A. Ale,15,1,2.837935,2.1937904,6,0.06666666666666667,-1.837934970855713,-1.1937904357910156
A. Anvegård,28,4,3.0933142,4.3080773,1,0.14285714285714285,0.9066858291625977,-0.308077335357666
A. Asante,9,2,0.7025953,1.4397386,3,0.2222222222222222,1.297404706478119,0.5602613687515259
A. Baker,5,1,0.8293883,0.6896552,3,0.2,0.1706116795539856,0.3103448152542114
A. Beever-Jones,132,26,22.21262,24.498466,4,0.19696969696969696,3.7873802185058594,1.5015335083007812
A. Bergström,12,1,2.0868554,1.8569697,1,0.08333333333333333,-1.086855411529541,-0.8569697141647339
A. Blanchard,22,4,4.933231,4.382723,1,0.18181818181818182,-0.9332308769226074,-0.3827228546142578
A. Csiki,3,1,0.6263901,0.8061224,2,0.3333333333333333,0.37360990047454834,0.19387757778167725
A. Csillag,8,1,1.1081626,2.251841,1,0.125,-0.10816264152526855,-1.2518410682678223
A. Dahlkemper,2,0,0.08206687,0.0,1,0.0,-0.08206687122583389,0.0
A. Dennis,1,0,0.44758064,0.0,1,0.0,-0.44758063554763794,0.0
A. Denton,20,3,2.8020146,3.2098596,3,0.15,0.19798541069030762,-0.20985960960388184
A. Eikeland,78,7,9.675798,8.492534,4,0.08974358974358974,-2.6757984161376953,-1.4925336837768555
A. Engman,13,3,2.3311446,2.909655,2,0.23076923076923078,0.6688554286956787,0.09034490585327148
A. Everett,2,0,0.13334893,0.0,1,0.0,-0.13334892690181732,0.0
A. Filbey,3,2,1.3168745,1.7927891,3,0.6666666666666666,0.6831254959106445,0.20721089839935303
A. Fujino,46,6,6.2425704,6.247179,2,0.13043478260869565,-0.2425704002380371,-0.2471790313720703
A. Galli,35,5,3.8830957,4.267807,5,0.14285714285714285,1.1169042587280273,0.7321929931640625
A. Gaylor,10,1,0.5241443,1.292036,1,0.1,0.4758557081222534,-0.2920360565185547
A. Goddard,6,0,0.84605575,0.0,1,0.0,-0.8460557460784912,0.0
