player_name,season,shots_n,goals,xg,psxg,placement_mean,power_mean,conv_rate,goals_minus_xg,goals_minus_psxg
,WSL 2015,188,26,23.552696,20.698898,96.59969992708618,47.8936170212766,0.13829787234042554,2.4473037719726562,5.3011016845703125
,WSL 2016,281,28,32.589165,22.038807,112.77567818641332,47.94306049822064,0.099644128113879,-4.589164733886719,5.961193084716797
,WSL 2017,3,0,0.35300583,0.0,66.66666666666667,42.0,0.0,-0.3530058264732361,0.0
,WSL 2017-2018,12,4,4.1770573,3.9925675,46.31753054967675,51.583333333333336,0.3333333333333333,-0.17705726623535156,0.007432460784912109
A. Addison,WSL 2019-2020,3,1,0.33333334,0.6933333,39.03212275575123,55.666666666666664,0.3333333333333333,0.6666666567325592,0.30666667222976685
A. Addison,WSL 2020-2021,17,2,2.1461506,2.0311606,39.120020206563176,50.05882352941177,0.11764705882352941,-0.1461505889892578,-0.031160593032836914
A. Addison,WSL 2021-2022,12,1,2.0095427,1.2918118,74.48515122746372,49.833333333333336,0.08333333333333333,-1.00954270362854,-0.29181182384490967
A. Ale,WSL 2020-2021,2,0,0.0,0.0,10.000000000000025,54.5,0.0,0.0,0.0
A. Ale,WSL 2021-2022,3,1,0.9713805,0.96842104,71.81155532741933,55.666666666666664,0.3333333333333333,0.02861952781677246,0.03157895803451538
A. Ale,WSL 2022-2023,1,0,0.33333334,0.0,78.3701331999492,50.0,0.0,-0.3333333432674408,0.0
A. Ale,WSL 2023-2024,1,0,0.35454544,0.53571427,17.811980986590658,42.0,0.0,-0.3545454442501068,-0.5357142686843872
A. Ale,WSL 2024-2025,3,0,0.9727992,0.6896552,55.96805554719676,50.0,0.0,-0.9727991819381714,-0.6896551847457886
A. Ale,WSL 2025-2026,5,0,0.2058764,0.0,51.676588673332844,44.4,0.0,-0.2058763951063156,0.0
A. Anvegård,WSL 2021-2022,28,4,3.0933142,4.3080773,46.55845101937869,49.42857142857143,0.14285714285714285,0.9066858291625977,-0.308077335357666
A. Asante,WSL 2017-2018,1,0,0.0,0.0,,50.0,0.0,0.0,0.0
A. Asante,WSL 2020-2021,4,1,0.4154002,0.6933333,46.16470635158713,46.0,0.25,0.5845997929573059,0.30666667222976685
A. Asante,WSL 2021-2022,4,1,0.2871951,0.74640524,25.322220143890036,52.25,0.25,0.712804913520813,0.2535947561264038
A. Baker,WSL 2021-2022,2,0,0.13946587,0.0,42.449115882637436,50.0,0.0,-0.13946586847305298,0.0
A. Baker,WSL 2022-2023,1,1,0.68992245,0.6896552,24.123524710216916,50.0,1.0,0.3100775480270386,0.3103448152542114
A. Baker,WSL 2023-2024,2,0,0.0,0.0,26.58752148900937,62.5,0.0,0.0,0.0
A. Beever-Jones,WSL 2022-2023,19,2,1.2435426,3.6088119,35.66102429345583,46.63157894736842,0.10526315789473684,0.7564574480056763,-1.608811855316162
A. Beever-Jones,WSL 2023-2024,40,11,8.423279,9.242744,46.53681871066617,51.775,0.275,2.57672119140625,1.7572555541992188
A. Beever-Jones,WSL 2024-2025,46,9,8.532959,7.7495503,40.19814946660417,50.130434782608695,0.1956521739130435,0.467041015625,1.2504496574401855
A. Beever-Jones,WSL 2025-2026,27,4,4.0128393,3.89736,44.11902995396227,51.22222222222222,0.14814814814814814,-0.012839317321777344,0.10263991355895996
A. Bergström,WSL 2025-2026,12,1,2.0868554,1.8569697,44.184170214067024,50.5,0.08333333333333333,-1.086855411529541,-0.8569697141647339
A. Blanchard,WSL 2024-2025,22,4,4.933231,4.382723,52.410319572241775,50.45454545454545,0.18181818181818182,-0.9332308769226074,-0.3827228546142578
A. Csiki,WSL 2024-2025,2,0,0.27184466,0.0,55.98873426235649,50.0,0.0,-0.27184465527534485,0.0
A. Csiki,WSL 2025-2026,1,1,0.35454544,0.8061224,18.90355639673245,50.0,1.0,0.6454545557498932,0.19387757778167725
A. Csillag,WSL 2025-2026,8,1,1.1081626,2.251841,41.694689702775065,47.0,0.125,-0.10816264152526855,-1.2518410682678223
A. Dahlkemper,WSL 2020-2021,2,0,0.08206687,0.0,69.93448421153641,42.0,0.0,-0.08206687122583389,0.0
A. Dennis,WSL 2025-2026,1,0,0.44758064,0.0,77.86205751198719,42.0,0.0,-0.44758063554763794,0.0
A. Denton,WSL 2023-2024,3,0,0.13946587,0.0,52.04131181689001,42.0,0.0,-0.13946586847305298,0.0
A. Denton,WSL 2024-2025,13,2,1.8747377,1.8351097,49.05165976907675,46.15384615384615,0.15384615384615385,0.12526226043701172,0.16489028930664062
A. Denton,WSL 2025-2026,4,1,0.78781104,1.3747499,60.24270848484679,46.0,0.25,0.2121889591217041,-0.37474989891052246
A. Eikeland,WSL 2019-2020,21,2,3.2932703,3.1978266,48.041288866323214,52.523809523809526,0.09523809523809523,-1.2932703495025635,-1.197826623916626
A. Eikeland,WSL 2020-2021,32,2,3.5731986,2.4154773,37.91758664101141,46.75,0.0625,-1.5731985569000244,-0.41547727584838867
A. Eikeland,WSL 2021-2022,12,2,1.1500475,1.6775959,53.20280005606431,48.75,0.16666666666666666,0.8499524593353271,0.322404146194458
A. Eikeland,WSL 2022-2023,13,1,1.6592823,1.2016337,43.128097460846874,50.53846153846154,0.07692307692307693,-0.6592823266983032,-0.20163369178771973
A. Engman,WSL 2018-2019,10,2,1.6188581,2.216322,52.189936802443825,46.8,0.2,0.38114190101623535,-0.2163219451904297
A. Engman,WSL 2019-2020,3,1,0.71228653,0.6933333,51.78883509642694,47.333333333333336,0.3333333333333333,0.2877134680747986,0.30666667222976685
