contestant_id,shots_faced,goals_conceded,xg_conceded,outfield_blocks,keeper_saves,total_blocked,ob_rate,ks_rate
5rurqie3qt1qav9ir5mkqinn,3923,554,489.7551,1109,959,2068,0.28269181748661737,0.24445577364262044
36tr17foeaf9ejjmt2txuoy3y,4196,557,555.38525,1074,1013,2087,0.2559580552907531,0.24142040038131554
spi3g782q7m4evjxn1sv6cfa,4224,607,572.3113,1059,983,2042,0.2507102272727273,0.23271780303030304
axwnneoekq2f2yq6r1l704y96,2203,286,282.81796,578,512,1090,0.2623694961416251,0.23241034952337722
7kt37xy93vjy6wac8vq6fqz3g,1874,213,215.97432,507,452,959,0.2705442902881537,0.24119530416221985
mjejb0x57ms54j9ry6s8njwh,2016,225,250.57875,493,510,1003,0.24454365079365079,0.25297619047619047
cz26xwowfjp8ei14n9z2ac135,1673,187,200.87184,427,403,830,0.25523012552301255,0.24088463837417812
dcdnoyf6kzhj46iyfm7xq43fy,1718,196,211.51302,416,465,881,0.2421420256111758,0.27066356228172295
9ijyncrxsejz505dbadwr1dir,1705,183,197.77203,406,446,852,0.23812316715542522,0.26158357771261
bsbugp9qfasrrtg55bf7evvwv,1714,186,195.21776,399,432,831,0.23278879813302217,0.25204200700116686
8l30dsub3sutr6j3ruvk650xc,1377,162,160.83684,347,337,684,0.25199709513435004,0.24473493100944083
4s6f6ktui5q36clvqisqr6lvo,1316,124,146.27351,305,329,634,0.2317629179331307,0.25
28u3q82ip96ahymkup01vfxli,1033,94,115.163795,281,256,537,0.27202323330106487,0.24782187802516942
9m7z1upwp3svfn611ejq7d36v,1000,99,110.38319,217,274,491,0.217,0.274
2fornxej3uxyo1v7wczz20l1e,563,63,62.913727,121,157,278,0.21492007104795738,0.27886323268206037
blzubaa449m1wjt46fasgdvse,242,26,31.689062,66,60,126,0.2727272727272727,0.24793388429752067
3yrar8n8nu5h2ouf8geruhzfg,340,38,37.367764,63,95,158,0.18529411764705883,0.27941176470588236
ewnp4j1j79y9gmqfborxzvp8r,301,25,34.77556,59,85,144,0.19601328903654486,0.2823920265780731
6o6989d7o4w1kn35cu75y1mny,180,22,23.357548,52,44,96,0.28888888888888886,0.24444444444444444
f4tectnuzt61j2n7bkojj3rrb,140,7,11.690472,22,30,52,0.15714285714285714,0.21428571428571427
