season,player,team,n_actions,total_xt,xt_per_action,total_vaep,vaep_per_action,vaep_per90
WSL_2015,A. Brooks,West Ham United WFC,159,0.362846,0.005759,0.154606,0.000972,0.146469
WSL_2015,A. Greenwood,Notts County WFC,1341,5.332548,0.013298,0.190863,0.000142,0.184706
WSL_2015,A. Hodson,Arsenal WFC,339,0.043872,0.000487,-0.23093,-0.000681,-0.221103
WSL_2015,A. Holmes,Yeovil Town WFC,172,0.509431,0.008491,0.105439,0.000613,0.100952
WSL_2015,A. James-Turner,Notts County WFC,1042,3.218739,0.010251,-0.223775,-0.000215,-0.214253
WSL_2015,A. James-Turner,Everton FC,1081,1.964562,0.005645,0.019101,1.8e-05,0.018096
WSL_2015,A. Joice,Yeovil Town WFC,43,0.006057,0.000551,-0.087456,-0.002034,-0.104948
WSL_2015,A. Mannion,Aston Villa WFC,966,1.759886,0.005146,-0.398417,-0.000412,-0.358575
WSL_2015,A. McManus,West Ham United WFC,417,1.159085,0.006006,0.024132,5.8e-05,0.022862
WSL_2015,A. Oshoala,Arsenal WFC,577,0.553698,0.005482,-0.294928,-0.000511,-0.285415
WSL_2015,A. Scott,Liverpool FCW,1069,3.818723,0.007939,1.074627,0.001005,1.039961
WSL_2015,A. Stringer,Aston Villa WFC,43,-0.052854,-0.003303,-0.009204,-0.000214,-0.00854
WSL_2015,A. Whelan,Notts County WFC,506,0.232583,0.001572,-0.098133,-0.000194,-0.093957
WSL_2015,A. Windell,Aston Villa WFC,575,1.367893,0.006452,0.108083,0.000188,0.109298
WSL_2015,Ana Borges,Manchester United WFC,50,-0.015818,-0.001438,-0.085419,-0.001708,-0.16016
WSL_2015,B. Chaplen,Yeovil Town WFC,747,1.568488,0.005964,1.399294,0.001873,1.33975
WSL_2015,B. Mead,Yeovil Town WFC,135,0.214688,0.006506,-0.206458,-0.001529,-0.199798
WSL_2015,C. Haines,Aston Villa WFC,141,0.004937,0.000133,-0.027438,-0.000195,-0.028384
WSL_2015,C. Harrison-Murray,Everton FC,776,0.620845,0.002861,-0.22235,-0.000287,-0.212889
WSL_2015,C. Humphrey,Liverpool FCW,88,0.191662,0.005476,-0.095318,-0.001083,-0.092243
WSL_2015,C. Kelly,Liverpool FCW,48,0.033249,0.001956,-0.097345,-0.002028,-0.213685
WSL_2015,C. Nightingale,West Ham United WFC,186,0.57399,0.007553,0.009931,5.3e-05,0.009121
WSL_2015,C. Rafferty,Manchester United WFC,991,3.182606,0.008965,0.223999,0.000226,0.214467
WSL_2015,C. Schröder,Arsenal WFC,414,1.370074,0.00932,-0.091067,-0.00022,-0.082789
WSL_2015,C. Stoney,Liverpool FCW,928,2.672599,0.006715,0.040674,4.4e-05,0.039362
